#Verb,Root,Sep,Trans
zerstechen,stechen,n,to prick all over
stehenbleiben,bleiben,y,to stay
missglücken,glücken,n,to fizzle
hineingehen,gehen,y,to go in
überschreiten,schreiten,n,to exceed
unterliegen,liegen,n,to be subject to
entsagen,sagen,n,abdicate
abjagen,jagen,y,to recover from
wachrütteln,rütteln,y,to shake up
zurückgewinnen,gewinnen,y,to regain
abwechseln,wechseln,y,to take turns
vorschweben,schweben,y,to have in mind
durchsickern,sickern,y,infiltrate
vorankommen,kommen,y,to make headway
aufbrauchen,brauchen,y,to consume
einwerfen,werfen,y,to interject
aushelfen,helfen,y,to help out
vorhersagen,sagen,y,forecast
,missen,n,to miss
auswringen,wringen,y,wring out
auswickeln,wickeln,y,to unwrap
verkennen,kennen,n,to misjudge
überdauern,dauern,n,to outlast
belauschen,lauschen,n,to overhear
,röten,n,redden
verheißen,heißen,n,to augur
abliefern,liefern,y,to deliver
abmachen,machen,y,to arrange
voraussetzen,setzen,y,to assume
wiedervereinigen,vereinigen,y,to reunify
abgewinnen,gewinnen,y,take pleasure in
abreiben,reiben,y,to abrade
zuschlagen,schlagen,y,to slam
entfliehen,fliehen,n,to escape
fertigstellen,stellen,y,finish
verrosten,rosten,n,to rust
umschauen,schauen,y,to look round
verstreben,streben,n,to strut
auskennen,kennen,y,to be well versed
erwürgen,würgen,n,strangle
verzeichnen,zeichnen,n,to list
aufbessern,bessern,y,to improve
verzaubern,zaubern,n,to bewitch
bedrücken,drücken,n,to bear down
zufrieren,frieren,y,to freeze up
abstoßen,stoßen,y,to push
verheilen,heilen,n,to heal
aufatmen,atmen,y,to breathe again
nachmachen,machen,y,to clone
abzählen,zählen,y,to count
zufallen,fallen,y,to fall to
zergehen,gehen,n,to deliquesce
aufzählen,zählen,y,enumerate
abwischen,wischen,y,to wipe
ausschimpfen,schimpfen,y,ticking off
